Title,Date,Issues,Number_of_signitures
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"Created by C.K. on February 16, 2018",Veterans & Military,"145,023"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Created by F.C. on January 20, 2017","Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform","142,179"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","Created by R.L. on January 04, 2019","Civil Rights & Equality, Homeland Security & Defense","138,361"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","Created by R.H. on June 30, 2018","Criminal Justice Reform, Economy & Jobs","137,212"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"Created by W.S. on August 10, 2019",Foreign Policy,"136,588"
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,"Created by D.L. on May 15, 2019","Civil Rights & Equality, Foreign Policy","133,190"
Protect Free Speech in the Digital Public Square,"Created by W.C. on August 28, 2018","Civil Rights & Equality, Technology & Innovation","130,766"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,"Created by G.P. on October 27, 2017",Foreign Policy,"124,741"
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,"Created by S.H. on October 12, 2018","Civil Rights & Equality, Foreign Policy","123,960"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,"Created by C.W. on March 15, 2018",Immigration,"123,149"
Expulsion For Maxine Waters - Remove Her From Congress,"Created by A.M. on June 25, 2018","Government & Regulatory Reform, Homeland Security & Defense, Immigration","122,892"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,"Created by G.S. on November 23, 2017","Civil Rights & Equality, Technology & Innovation","119,730"
"Award the Presidential Medal of Freedom to Parkland Shooting HERO and victim, Peter Wang, who died saving others","Created by K.K. on November 22, 2018",Veterans & Military,"117,857"
Please pass the bill “Hong Kong Human Rights and Democracy Act”,"Created by J.J. on July 08, 2019","Civil Rights & Equality, Foreign Policy","116,933"
Save Oleg Sentsov,"Created by V.G. on August 09, 2018","Civil Rights & Equality, Foreign Policy","116,708"
President Trump: Please liberate Hong Kong from Communist China's occupation,"Created by Y.Y. on June 18, 2019",Foreign Policy,"113,123"
A Peace Treaty on the Korean Peninsula,"Created by J.Y. on March 15, 2018",,"112,068"
"Petition calling for the suspension of crowd control equipment exports to Hong Kong, prevent human rights abuses","Created by J.W. on July 05, 2019","Civil Rights & Equality, Foreign Policy, Gun Violence","111,541"
Sanction Daniel Ortega under the Magnitsky Act,"Created by C.N. on May 30, 2018","Civil Rights & Equality, Foreign Policy","109,349"
Juniors Law,"Created by D.A. on June 26, 2018",Criminal Justice Reform,"109,144"
"American people, say NO loudly to sexual assault!","Created by Z.Y. on October 28, 2017","Criminal Justice Reform, Foreign Policy, Homeland Security & Defense","108,691"
Condemn China's Concentration Camps and Prevent a 21st Century Holocaust in East Turkistan,"Created by S.H. on September 09, 2018","Foreign Policy, Homeland Security & Defense","107,807"
Saivian LLc. USA and Saivian International Inc Scam,"Created by Q.C. on September 09, 2017","Budget & Taxes, Criminal Justice Reform, Economy & Jobs","107,755"
Requesting international humanitarian aid/assistance for unprotected Hong Kong citizens,"Created by W.C. on July 21, 2019","Civil Rights & Equality, Criminal Justice Reform, Homeland Security & Defense","106,480"
Request for Sanctions Against Those Responsible for the Extradition Law Amendment in Hong Kong,"Created by F.H. on June 11, 2019","Foreign Policy, Homeland Security & Defense, Immigration","105,365"
Recognize the Rapid Support Forces led by General  Hemedti (Janjaweed leader) in Sudan as Terrorist Organization,"Created by Y.M. on June 06, 2019","Civil Rights & Equality, Foreign Policy, Homeland Security & Defense","101,641"
Chinese police impersonating Hong Kong police officers in anti-extradition bill protest,"Created by J.C. on August 10, 2019","Civil Rights & Equality, Foreign Policy","52,811"
"Sanction Hong Kong government for its State Terrorism activity conducted in Yuen Long train station, Hong Kong on 7/21","Created by G.L. on July 22, 2019","Civil Rights & Equality, Foreign Policy","43,184"
Call for Official Recognition of the Chinese Communist Party as a Terrorist Organization,"Created by P.L. on August 11, 2019","Foreign Policy, Gun Violence, Homeland Security & Defense","25,857"
We demand the rejection of Andy Tsang's nomination to United Nations positions,"Created by W.L. on July 28, 2019","Civil Rights & Equality, Foreign Policy, Gun Violence","22,087"
Conduct an Immediate Congressional Investigation Into Rep. Ilhan Omar,"Created by A.J. on July 16, 2019","Homeland Security & Defense, Immigration","13,929"
Send military force to Hong Kong to save citizens from the massacre carried out by the Hong Kong Police beginning 11 Aug,"Created by P.B. on August 11, 2019",Foreign Policy,"10,747"
Rep Jackie Speier (CA) wants to rename Lejeune High School in NC after Rep Walter B. Jones. We (Alumni) oppose this.,"Created by R.L. on July 17, 2019","Education, Transportation & Infrastructure, Veterans & Military","3,803"
Indian-Americans urge Donald Trump to 'fully support' India on Jammu & Kashmir.,"Created by K.P. on August 07, 2019",Foreign Policy,"3,251"
Protect our Camping and OHV rights! Petition to Keep OCEANO DUNES SVRA open!,"Created by T.R. on July 16, 2019","Economy & Jobs, Energy & Environment, Veterans & Military","3,199"
"Give the Kashmiri people their rights and protect their freedom, property and life.","Created by T.K. on August 05, 2019","Civil Rights & Equality, Foreign Policy, Homeland Security & Defense","2,485"
Make Hong Kong the 51st state,"Created by L.C. on August 14, 2019","Economy & Jobs, Foreign Policy, Government & Regulatory Reform","2,329"
Conduct an Immediate Congressional Investigation Into Rep. Ilhan Omar,"Created by A.J. on July 16, 2019","Homeland Security & Defense, Immigration","1,945"
Bring Back 2011 HR: 1364- Freedom of Speech in Science Act,"Created by J.Z. on July 20, 2019","Civil Rights & Equality, Government & Regulatory Reform, Health Care","1,871"
Repeal the Hughes Amendment and allow the production of new machine guns for civilian ownership,"Created by W.B. on July 31, 2019","Civil Rights & Equality, Government & Regulatory Reform, Homeland Security & Defense","1,527"
1 in 16 Americans will be diagnosed with lung cancer & only 6% of federal research dollars used on lung cancer research,"Created by J.G. on July 20, 2019","Education, Health Care, Veterans & Military","1,462"
Petition to allow National Park Service Rangers to volunteer for Emergency Service Agencies,"Created by E.T. on August 02, 2019","Energy & Environment, Government & Regulatory Reform, Rural Policy","1,110"
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","Created by J.L. on July 25, 2019","Civil Rights & Equality, Foreign Policy, Gun Violence",838
Order Marines to rescue the child sex slaves under the Getty Center in LA. #10,"Created by S.K. on July 22, 2019","Civil Rights & Equality, Criminal Justice Reform, Homeland Security & Defense",793
Restore Hong Kong's autonomy. Make Hong Kong great again!,"Created by G.L. on July 23, 2019","Civil Rights & Equality, Foreign Policy",723
American's Freedom of Speech is damaged by People's Republic of China from WeChat messenger in USA.,"Created by S.F. on August 11, 2019","Civil Rights & Equality, Foreign Policy, Homeland Security & Defense",654
President Trump: direct HHS Office of Conscience to make protecting the universal right of Informed Consent a priority.,"Created by R.F. on July 29, 2019","Civil Rights & Equality, Government & Regulatory Reform, Health Care",592
"Chinese students violently treat dissidents,ask the federal government to cancel Chinese students' US visas and refuse C","Created by V.L. on July 30, 2019","Civil Rights & Equality, Foreign Policy, Homeland Security & Defense",515
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","Created by J.L. on July 25, 2019","Civil Rights & Equality, Foreign Policy, Gun Violence",487
"We The People of These United States of America Oppose Any and All Red Flag Gun Laws, Mr. President .","Created by J.N. on August 06, 2019","Civil Rights & Equality, Government & Regulatory Reform, Gun Violence",480
"We the people ask the government to STOP voting frauds, Proof of Citizenships should be required for voting.","Created by L.G. on July 19, 2019","Government & Regulatory Reform, Health Care, Immigration",454
"Investigation on Kim Foxx
Look into r Kelly 
This is a extortion he is innocent","Created by C.P. on July 16, 2019","Civil Rights & Equality, Criminal Justice Reform",408
Designate Govt of HK-Special Administrative Region as Foreign Terrorist Organizations and penalized its officials,"Created by G.F. on July 22, 2019","Civil Rights & Equality, Foreign Policy, Immigration",378
"A Petition that Donald J. Trump, President of the United States: Pardon Julian Assange",Created by S.L. on ,Civil Rights & Equality,377
Publicly endorse the Gavin Newsom recall campaign via Twitter,"Created by K.S. on July 31, 2019","Civil Rights & Equality, Government & Regulatory Reform, Immigration",333
"We ask for resignation or residency for the governor of Puerto Rico, Ricardo Rosselló.","Created by V.K. on July 18, 2019","Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",329
Call on the US government to mediate the Hong Kong crisis,"Created by Z.K. on August 14, 2019","Foreign Policy, Gun Violence, Homeland Security & Defense",272
"The President of the United States to defend our Iron Clad Constitutional Provisions, Rights & Liberties","Created by J.F. on August 10, 2019","Civil Rights & Equality, Government & Regulatory Reform, Gun Violence",266
Declare mass shootings fueled by white supremacy a national emergency.,"Created by J.F. on August 05, 2019",Gun Violence,261
"Ask the federal government,give a definition as ""The Hong Kong  Genocide"",Hong Kong Police Force attack people","Created by S.C. on July 27, 2019","Criminal Justice Reform, Foreign Policy",255
English Ver : Trump is too talented! Please accept Freedom-Hi from Hong Kong!,"Created by K.J. on July 17, 2019","Civil Rights & Equality, Foreign Policy, Immigration",219
Hillary Clinton’s Body counts is well overdue for prison sentence,"Created by E.B. on July 23, 2019","Budget & Taxes, Civil Rights & Equality, Criminal Justice Reform",218
"WE, the People ask the US President to propose to the Congress to amend the treaty with Bulgaria for 8 pcs F-16, bl-70","Created by S.S. on July 20, 2019",Foreign Policy,217
Demand the  resignation and indictment    of  Puerto Rico Gov. Ricardo Rosselló,"Created by C.F. on July 17, 2019","Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",217
Stand Against Red Flag Laws,"Created by J.M. on August 05, 2019","Civil Rights & Equality, Gun Violence, Homeland Security & Defense",217
Nullify all Votes that Apply to Federal Elections in any State that Allows Voting by non-US Citizens.,"Created by K.E. on July 23, 2019","Civil Rights & Equality, Government & Regulatory Reform, Immigration",216
"Lyme disease now a national epidemic.  Please provide funding, and resources, at the level required to resolve promptly.","Created by C.S. on July 23, 2019","Health Care, Homeland Security & Defense, Technology & Innovation",216
PARDON KEVIN (KC) MASSEY WE ARE ASKING Donald J Trump Pardon Mr. Massey HE WAS UNLAWFULLY CHARGED guarding the Border!!,"Created by B.C. on July 25, 2019","Civil Rights & Equality, Veterans & Military",209
Save Oceano Dunes (Pismo Dunes) We must Stand Together & Stand Strong. Let Our Voices be heard!,"Created by A.O. on July 16, 2019","Economy & Jobs, Energy & Environment, Veterans & Military",197
中文版訴求 : Trump is too talented! Please accept Freedom-Hi from Hong Kong!特朗普太有才了!請接收來自香港的自由西吧!,"Created by K.J. on July 17, 2019","Civil Rights & Equality, Foreign Policy, Immigration",193
"Establish the 15th day of August of every year as Ermias Asghedom Day which would also be known as ""Nipsey Hussle Day""","Created by A.P. on July 25, 2019","Civil Rights & Equality, Education, Innovation: Arts & Technology",186
Help give new moms a chance to work from home so there is never a need to choose between family and finances.,"Created by L.T. on August 04, 2019",Economy & Jobs,180
We hope U.S. Federal Agencies can process student visa with a clear timeline and support international students.,"Created by D.L. on July 26, 2019","Civil Rights & Equality, Education, Immigration",172
Free Justin Olsen,"Created by S.C. on August 13, 2019","Civil Rights & Equality, Gun Violence, Homeland Security & Defense",156
Fire Angel Hernandez,"Created by J.L. on July 30, 2019","Criminal Justice Reform, Energy & Environment, Urban Policy",154
